# x  log10(x)  computed  exact  rel_error  log10(rel_error)
5.011872336272612e-08 -7.300000000000010e+00 9.999999999999998e-01 9.999999999999998e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801788e-08 -7.200000000000010e+00 9.999999999999998e-01 9.999999999999998e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242626e-08 -7.100000000000010e+00 9.999999999999998e-01 9.999999999999998e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999755e-08 -7.000000000000011e+00 9.999999999999996e-01 9.999999999999996e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794135e-07 -6.900000000000011e+00 9.999999999999991e-01 9.999999999999991e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461072e-07 -6.800000000000011e+00 9.999999999999987e-01 9.999999999999987e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968826e-07 -6.700000000000012e+00 9.999999999999980e-01 9.999999999999980e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509510e-07 -6.600000000000012e+00 9.999999999999969e-01 9.999999999999969e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168289e-07 -6.500000000000012e+00 9.999999999999949e-01 9.999999999999949e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534855e-07 -6.400000000000013e+00 9.999999999999920e-01 9.999999999999920e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272571e-07 -6.300000000000013e+00 9.999999999999873e-01 9.999999999999873e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801736e-07 -6.200000000000014e+00 9.999999999999800e-01 9.999999999999800e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242561e-07 -6.100000000000014e+00 9.999999999999685e-01 9.999999999999685e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999673e-07 -6.000000000000014e+00 9.999999999999500e-01 9.999999999999500e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794125e-06 -5.900000000000015e+00 9.999999999999207e-01 9.999999999999207e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461059e-06 -5.800000000000015e+00 9.999999999998743e-01 9.999999999998743e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968809e-06 -5.700000000000015e+00 9.999999999998010e-01 9.999999999998010e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509490e-06 -5.600000000000016e+00 9.999999999996845e-01 9.999999999996845e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168263e-06 -5.500000000000016e+00 9.999999999995000e-01 9.999999999995000e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534823e-06 -5.400000000000016e+00 9.999999999992075e-01 9.999999999992075e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272530e-06 -5.300000000000017e+00 9.999999999987441e-01 9.999999999987441e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801685e-06 -5.200000000000017e+00 9.999999999980094e-01 9.999999999980094e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242496e-06 -5.100000000000017e+00 9.999999999968452e-01 9.999999999968452e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999591e-06 -5.000000000000018e+00 9.999999999950000e-01 9.999999999950000e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794115e-05 -4.900000000000018e+00 9.999999999920755e-01 9.999999999920755e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461046e-05 -4.800000000000018e+00 9.999999999874405e-01 9.999999999874405e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968793e-05 -4.700000000000019e+00 9.999999999800946e-01 9.999999999800946e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509469e-05 -4.600000000000019e+00 9.999999999684521e-01 9.999999999684521e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168237e-05 -4.500000000000020e+00 9.999999999500000e-01 9.999999999500000e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534790e-05 -4.400000000000020e+00 9.999999999207554e-01 9.999999999207554e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272489e-05 -4.300000000000020e+00 9.999999998744056e-01 9.999999998744056e-01 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801632e-05 -4.200000000000021e+00 9.999999998009463e-01 9.999999998009463e-01 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242432e-05 -4.100000000000021e+00 9.999999996845212e-01 9.999999996845212e-01 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999509e-05 -4.000000000000021e+00 9.999999995000000e-01 9.999999995000000e-01 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794106e-04 -3.900000000000021e+00 9.999999992075534e-01 9.999999992075534e-01 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461036e-04 -3.800000000000021e+00 9.999999987440569e-01 9.999999987440569e-01 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968783e-04 -3.700000000000021e+00 9.999999980094640e-01 9.999999980094640e-01 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509459e-04 -3.600000000000021e+00 9.999999968452133e-01 9.999999968452133e-01 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168228e-04 -3.500000000000021e+00 9.999999950000000e-01 9.999999950000000e-01 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534782e-04 -3.400000000000021e+00 9.999999920755341e-01 9.999999920755341e-01 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272483e-04 -3.300000000000021e+00 9.999999874405680e-01 9.999999874405680e-01 0.000000000000000e+00 -2.000000000000000e+01
