# x  log10(x)  computed  exact  rel_error  log10(rel_error)
1.000000000000000e-10 -1.000000000000000e+01 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.258925411794166e-10 -9.900000000000000e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.584893192461111e-10 -9.800000000000001e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.995262314968875e-10 -9.700000000000001e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
2.511886431509572e-10 -9.600000000000001e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
3.162277660168367e-10 -9.500000000000002e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
3.981071705534953e-10 -9.400000000000002e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
5.011872336272695e-10 -9.300000000000002e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
6.309573444801891e-10 -9.200000000000003e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
7.943282347242757e-10 -9.100000000000003e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
9.999999999999918e-10 -9.000000000000004e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.258925411794156e-09 -8.900000000000004e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.584893192461098e-09 -8.800000000000004e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.995262314968858e-09 -8.700000000000005e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
2.511886431509551e-09 -8.600000000000005e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
3.162277660168341e-09 -8.500000000000005e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
3.981071705534920e-09 -8.400000000000006e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
5.011872336272654e-09 -8.300000000000006e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
6.309573444801839e-09 -8.200000000000006e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
7.943282347242691e-09 -8.100000000000007e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
9.999999999999836e-09 -8.000000000000007e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.258925411794146e-08 -7.900000000000007e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.584893192461085e-08 -7.800000000000008e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
1.995262314968842e-08 -7.700000000000008e+00 nan 1.000000000000000e+00 nan -2.000000000000000e+01
2.511886431509531e-08 -7.600000000000009e+00 7.983409590406604e-01 1.000000000000000e+00 2.016590409593396e-01 -6.953823025394066e-01
3.162277660168314e-08 -7.500000000000009e+00 7.964498150349696e-01 1.000000000000000e+00 2.035501849650304e-01 -6.913284986431887e-01
3.981071705534888e-08 -7.400000000000009e+00 7.945631508516029e-01 1.000000000000000e+00 2.054368491483971e-01 -6.873216544755231e-01
5.011872336272612e-08 -7.300000000000010e+00 1.056907941171422e+00 9.999999999999998e-01 5.690794117142196e-02 -1.244827126113070e+00
6.309573444801788e-08 -7.200000000000010e+00 1.054404292705339e+00 9.999999999999998e-01 5.440429270533943e-02 -1.264366831465620e+00
7.943282347242626e-08 -7.100000000000010e+00 1.051906574988187e+00 9.999999999999998e-01 5.190657498818686e-02 -1.284777626732870e+00
9.999999999999755e-08 -7.000000000000011e+00 9.686905605885738e-01 9.999999999999996e-01 3.130943941142574e-02 -1.504324708259928e+00
1.258925411794135e-07 -6.900000000000011e+00 9.663958852042274e-01 9.999999999999991e-01 3.360411479577177e-02 -1.473607540357685e+00
1.584893192461072e-07 -6.800000000000011e+00 1.002670911366270e+00 9.999999999999987e-01 2.670911366271737e-03 -2.573340523726205e+00
1.995262314968826e-07 -6.700000000000012e+00 1.000295741882308e+00 9.999999999999980e-01 2.957418823101860e-04 -3.529087167296063e+00
2.511886431509510e-07 -6.600000000000012e+00 9.979261988008011e-01 9.999999999999969e-01 2.073801199195764e-03 -2.683232878723477e+00
3.162277660168289e-07 -6.500000000000012e+00 9.955622687936877e-01 9.999999999999949e-01 4.437731206307216e-03 -2.352839006554848e+00
3.981071705534855e-07 -6.400000000000013e+00 9.981949131301302e-01 9.999999999999920e-01 1.805086869861820e-03 -2.743501892819925e+00
5.011872336272571e-07 -6.300000000000013e+00 1.000859792775943e+00 9.999999999999873e-01 8.597927759557253e-04 -3.065606208178939e+00
6.309573444801736e-07 -6.200000000000014e+00 1.001016733580993e+00 9.999999999999800e-01 1.016733581013416e-03 -2.992792832184105e+00
7.943282347242561e-07 -6.100000000000014e+00 9.999111929545258e-01 9.999999999999685e-01 8.880704544267651e-05 -4.051552578416215e+00
9.999999999999673e-07 -6.000000000000014e+00 1.000077611789323e+00 9.999999999999500e-01 7.761178937282619e-05 -4.110072303604303e+00
1.258925411794125e-06 -5.900000000000015e+00 1.000250518125370e+00 9.999999999999207e-01 2.505181254495369e-04 -3.601160846651267e+00
1.584893192461059e-06 -5.800000000000015e+00 1.000110628158161e+00 9.999999999998743e-01 1.106281582867880e-04 -3.956134317587270e+00
1.995262314968809e-06 -5.700000000000015e+00 9.999757496423977e-01 9.999999999998010e-01 2.425035740339293e-05 -4.615281856353366e+00
2.511886431509490e-06 -5.600000000000016e+00 1.000006211721156e+00 9.999999999996845e-01 6.211721471862403e-06 -5.206788025890214e+00
3.162277660168263e-06 -5.500000000000016e+00 9.999621020426509e-01 9.999999999995000e-01 3.789795684907235e-05 -4.421384203042269e+00
3.981071705534823e-06 -5.400000000000016e+00 1.000003965530059e+00 9.999999999992075e-01 3.965530851693744e-06 -5.401698666977039e+00
5.011872336272530e-06 -5.300000000000017e+00 1.000011298340962e+00 9.999999999987441e-01 1.129834221826085e-05 -4.946985274948299e+00
6.309573444801685e-06 -5.200000000000017e+00 1.000004071230356e+00 9.999999999980094e-01 4.071232346588904e-06 -5.390274111582280e+00
7.943282347242496e-06 -5.100000000000017e+00 1.000002447930738e+00 9.999999999968452e-01 2.447933892931693e-06 -5.611200314599449e+00
9.999999999999591e-06 -5.000000000000018e+00 9.999962906169988e-01 9.999999999950000e-01 3.709378001222847e-06 -5.430698907981593e+00
